birdId,birdName,scientificName,found_in_xenocanto,xenocanto_recordings
1,Wandering Albatross,Diomedea exulans,Yes,6
2,Tristan Albatross,Diomedea dabbenena,Yes,1
3,Amsterdam Albatross,Diomedea amsterdamensis,Yes,0
4,Southern Royal Albatross,Diomedea epomophora,Yes,7
5,Northern Royal Albatross,Diomedea sanfordi,Yes,4
6,Shy Albatross,Thalassarche cauta,Yes,19
7,Salvin's Albatross,Thalassarche salvini,Yes,9
8,Chatham Albatross,Thalassarche eremita,Yes,6
9,Black-browed Albatross,Thalassarche melanophris,Yes,33
10,Grey-headed Albatross,Thalassarche chrysostoma,Yes,0
11,Buller's Albatross,Thalassarche bulleri,Yes,8
12,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Yes,2
13,Indian Yellow-nosed Albatross,Thalassarche carteri,Yes,2
14,Laysan Albatross,Phoebastria immutabilis,Yes,156
15,Light-mantled Albatross,Phoebetria palpebrata,Yes,11
16,Sooty Albatross,Phoebetria fusca,Yes,0
17,Northern Giant Petrel,Macronectes halli,Yes,13
18,Southern Giant Petrel,Macronectes giganteus,Yes,1
19,Cape Petrel,Daption capense,Yes,13
20,Antarctic Petrel,Thalassoica antarctica,Yes,9
21,Southern Fulmar,Fulmarus glacialoides,Yes,1
22,Grey Petrel,Procellaria cinerea,Yes,5
23,White-chinned Petrel,Procellaria aequinoctialis,Yes,17
24,Spectacled Petrel,Procellaria conspicillata,Yes,0
25,Great-winged Petrel,Pterodroma macroptera,Yes,0
26,Atlantic Petrel,Pterodroma incerta,Yes,1
27,Trindade Petrel,Pterodroma arminjoniana,Yes,4
28,Tahiti Petrel,Pseudobulweria rostrata,Yes,2
29,Kerguelen Petrel,Aphrodroma brevirostris,Yes,7
30,Soft-plumaged Petrel,Pterodroma mollis,Yes,4
31,White-headed Petrel,Pterodroma lessonii,Yes,5
32,Barau's Petrel,Pterodroma baraui,Yes,4
33,Bulwer's Petrel,Bulweria bulwerii,Yes,9
34,Jouanin's Petrel,Bulweria fallax,Yes,0
35,Cory's Shearwater,Calonectris borealis,Yes,197
36,Scopoli's Shearwater,Calonectris diomedea,Yes,59
37,Streaked Shearwater,Calonectris leucomelas,Yes,3
38,Great Shearwater,Ardenna gravis,Yes,18
39,Flesh-footed Shearwater,Ardenna carneipes,Yes,17
40,Wedge-tailed Shearwater,Ardenna pacifica,Yes,37
41,Sooty Shearwater,Ardenna grisea,Yes,21
